frame,id,x1,y1,x2,y2,class,confidence
1,1,153,179,251,192,LicensePlate,0.5
2,1,164,178,260,190,LicensePlate,0.5
3,1,171,179,275,193,LicensePlate,0.5
41,3,134,137,180,159,LicensePlate,0.5
42,3,143,137,190,160,LicensePlate,0.5
43,3,151,137,200,160,LicensePlate,0.5
44,3,161,136,210,160,LicensePlate,0.5
45,3,171,136,221,160,LicensePlate,0.5
46,3,181,136,231,160,LicensePlate,0.5
47,3,191,136,242,161,LicensePlate,0.5
48,3,201,136,253,162,LicensePlate,0.5
49,3,212,137,264,162,LicensePlate,0.5
50,3,222,137,275,162,LicensePlate,0.5
51,3,233,136,286,163,LicensePlate,0.5
71,7,513,125,583,157,LicensePlate,0.5
72,7,530,124,600,156,LicensePlate,0.5
73,7,550,123,619,149,LicensePlate,0.5
74,7,568,124,637,148,LicensePlate,0.5
75,7,587,124,657,147,LicensePlate,0.5
77,7,620,122,691,144,LicensePlate,0.5
78,7,643,122,718,146,LicensePlate,0.5
79,7,664,121,742,147,LicensePlate,0.5
80,7,685,119,763,141,LicensePlate,0.5
81,7,704,118,775,138,LicensePlate,0.5
124,19,104,122,147,143,LicensePlate,0.5
125,19,115,121,158,143,LicensePlate,0.5
126,19,123,120,168,143,LicensePlate,0.5
127,19,132,120,177,143,LicensePlate,0.5
128,19,141,121,185,143,LicensePlate,0.5
129,19,150,120,195,143,LicensePlate,0.5
130,19,158,120,204,143,LicensePlate,0.5
131,19,167,120,213,143,LicensePlate,0.5
132,19,177,120,223,143,LicensePlate,0.5
133,19,186,119,233,144,LicensePlate,0.5
134,19,195,119,243,143,LicensePlate,0.5
135,19,205,118,252,143,LicensePlate,0.5
136,19,214,118,262,143,LicensePlate,0.5
137,19,224,118,273,143,LicensePlate,0.5
138,19,234,117,283,143,LicensePlate,0.5
139,19,243,117,293,143,LicensePlate,0.5
140,19,253,117,304,143,LicensePlate,0.5
141,19,263,116,314,143,LicensePlate,0.5
142,19,273,116,325,143,LicensePlate,0.5
143,19,284,115,335,143,LicensePlate,0.5
144,19,293,114,346,142,LicensePlate,0.5
145,19,304,114,357,143,LicensePlate,0.5
146,19,315,114,368,142,LicensePlate,0.5
147,19,325,113,380,142,LicensePlate,0.5
148,19,337,113,391,142,LicensePlate,0.5
149,19,348,111,403,141,LicensePlate,0.5
150,19,359,111,415,141,LicensePlate,0.5
151,19,371,110,428,140,LicensePlate,0.5
152,19,383,108,440,139,LicensePlate,0.5
153,19,395,108,453,139,LicensePlate,0.5
154,19,408,107,466,138,LicensePlate,0.5
155,19,420,106,479,138,LicensePlate,0.5
156,19,432,106,492,137,LicensePlate,0.5
157,19,444,104,506,137,LicensePlate,0.5
158,19,458,104,520,137,LicensePlate,0.5
159,19,471,102,534,136,LicensePlate,0.5
160,19,485,100,549,134,LicensePlate,0.5
161,19,499,99,564,134,LicensePlate,0.5
162,19,513,98,579,133,LicensePlate,0.5
163,19,528,97,594,132,LicensePlate,0.5
164,19,543,96,611,132,LicensePlate,0.5
165,19,558,96,627,132,LicensePlate,0.5
166,19,574,95,645,131,LicensePlate,0.5
167,19,590,94,662,131,LicensePlate,0.5
168,19,607,92,679,130,LicensePlate,0.5
169,19,623,91,697,129,LicensePlate,0.5
170,19,641,90,716,129,LicensePlate,0.5
171,19,656,97,730,131,LicensePlate,0.5
173,19,688,93,760,127,LicensePlate,0.5
232,27,11,132,71,147,LicensePlate,0.5
233,27,17,132,78,147,LicensePlate,0.5
234,27,24,132,86,147,LicensePlate,0.5
235,27,31,132,92,147,LicensePlate,0.5
236,27,38,132,100,146,LicensePlate,0.5
237,27,45,131,108,146,LicensePlate,0.5
238,27,53,131,116,146,LicensePlate,0.5
239,27,60,131,124,146,LicensePlate,0.5
240,27,68,132,132,147,LicensePlate,0.5
241,27,76,131,140,147,LicensePlate,0.5
242,27,84,131,149,147,LicensePlate,0.5
243,27,92,131,158,147,LicensePlate,0.5
244,27,101,131,168,147,LicensePlate,0.5
245,27,109,131,177,147,LicensePlate,0.5
246,27,118,131,187,147,LicensePlate,0.5
247,27,127,130,196,147,LicensePlate,0.5
248,27,136,130,207,147,LicensePlate,0.5
249,27,146,130,217,146,LicensePlate,0.5
250,27,156,129,227,146,LicensePlate,0.5
251,27,166,129,238,146,LicensePlate,0.5
252,27,176,129,249,146,LicensePlate,0.5
253,27,186,129,260,146,LicensePlate,0.5
254,27,197,129,272,147,LicensePlate,0.5
255,27,208,129,284,147,LicensePlate,0.5
256,27,219,129,296,147,LicensePlate,0.5
257,31,232,130,310,149,LicensePlate,0.5
258,31,243,130,324,150,LicensePlate,0.5
259,31,255,131,337,151,LicensePlate,0.5
260,31,268,131,350,151,LicensePlate,0.5
261,31,281,132,364,152,LicensePlate,0.5
262,31,295,133,378,152,LicensePlate,0.5
263,31,308,133,392,152,LicensePlate,0.5
264,31,320,133,407,152,LicensePlate,0.5
265,31,334,132,423,152,LicensePlate,0.5
266,31,348,131,439,152,LicensePlate,0.5
268,33,382,128,474,150,LicensePlate,0.5
270,33,410,127,506,149,LicensePlate,0.5
271,33,431,126,527,148,LicensePlate,0.5
272,33,450,124,547,148,LicensePlate,0.5
273,33,467,122,567,146,LicensePlate,0.5
274,33,486,121,587,145,LicensePlate,0.5
278,33,564,117,676,144,LicensePlate,0.5
279,33,586,116,700,143,LicensePlate,0.5
281,33,624,115,743,142,LicensePlate,0.5
313,40,121,138,163,163,LicensePlate,0.5
315,40,125,136,172,162,LicensePlate,0.5
316,40,131,134,182,162,LicensePlate,0.5
320,40,162,132,221,163,LicensePlate,0.5
321,40,190,133,238,162,LicensePlate,0.5
322,40,188,133,241,163,LicensePlate,0.5
323,40,193,132,249,163,LicensePlate,0.5
325,40,207,131,265,163,LicensePlate,0.5
326,40,218,130,278,163,LicensePlate,0.5
327,40,228,129,290,162,LicensePlate,0.5
330,40,252,127,316,161,LicensePlate,0.5
331,40,268,126,334,161,LicensePlate,0.5
332,40,279,124,348,160,LicensePlate,0.5
336,40,326,122,399,159,LicensePlate,0.5
338,45,351,124,425,159,LicensePlate,0.5
342,40,405,122,481,159,LicensePlate,0.5
343,40,421,122,498,159,LicensePlate,0.5
344,47,433,126,524,155,LicensePlate,0.5
344,40,437,120,516,158,LicensePlate,0.5
345,47,447,120,540,153,LicensePlate,0.5
345,40,453,119,533,157,LicensePlate,0.5
346,40,470,121,551,159,LicensePlate,0.5
347,40,487,119,570,157,LicensePlate,0.5
348,40,504,119,588,158,LicensePlate,0.5
349,40,521,119,608,159,LicensePlate,0.5
350,40,540,120,628,160,LicensePlate,0.5
351,40,559,117,649,159,LicensePlate,0.5
352,40,579,116,671,159,LicensePlate,0.5
353,40,599,114,695,160,LicensePlate,0.5
354,40,622,112,719,158,LicensePlate,0.5
390,53,3,19,73,67,LicensePlate,0.5
391,53,5,15,86,65,LicensePlate,0.5
394,55,3,11,128,60,LicensePlate,0.5
395,55,5,10,141,59,LicensePlate,0.5
396,55,6,6,155,57,LicensePlate,0.5
397,55,8,4,170,56,LicensePlate,0.5
398,55,14,1,187,53,LicensePlate,0.5
399,57,4,0,204,51,LicensePlate,0.5
399,55,11,0,201,53,LicensePlate,0.5
400,57,10,0,222,52,LicensePlate,0.5
401,57,19,0,241,54,LicensePlate,0.5
403,57,45,-1,271,51,LicensePlate,0.5
405,57,79,-1,310,48,LicensePlate,0.5
407,57,118,-2,352,43,LicensePlate,0.5
