epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.637,1.07374,2.93578,1.20899,0.00333,1,0.87834,0.63292,0.85145,3.3929,0.95717,0.00034,0.00034,0.00034
2,287.558,0.96129,1.808,1.05836,1,0.68575,0.93051,0.69784,0.77792,3.22447,0.92607,0.00068614,0.00068614,0.00068614
3,408.611,0.98766,1.59519,1.06902,0.83147,0.67002,0.7682,0.50677,0.96994,2.97571,1.05039,0.00101802,0.00101802,0.00101802
4,527.619,1.0268,1.68157,1.09227,0.70132,0.75371,0.7536,0.49929,1.07299,2.44819,1.09871,0.00133565,0.00133565,0.00133565
5,647.073,1.05606,1.5244,1.08418,0.81606,0.85185,0.8787,0.61286,1.00874,2.20776,1.06675,0.00163902,0.00163902,0.00163902
6,765.763,1.02538,1.35865,1.07929,0.82444,0.74074,0.83011,0.55182,0.98324,2.59691,1.11615,0.001802,0.001802,0.001802
7,884.601,1.0135,1.26623,1.09943,0.73986,0.80762,0.83334,0.60909,0.9107,1.85674,1.07593,0.0017624,0.0017624,0.0017624
8,1003.3,0.98718,1.13558,1.08454,0.92325,0.82716,0.91836,0.68679,0.932,1.59976,1.05264,0.0017228,0.0017228,0.0017228
9,1121.83,0.98983,1.12021,1.07715,0.82237,0.90123,0.93371,0.70329,0.87621,1.3464,1.01634,0.0016832,0.0016832,0.0016832
10,1241.45,1.04541,1.07617,1.07977,0.91287,0.91358,0.93335,0.68122,0.97429,1.27327,1.04592,0.0016436,0.0016436,0.0016436
11,1359.84,1.03064,1.07283,1.10539,0.92882,0.96657,0.97677,0.73402,0.90668,1.2163,1.02052,0.001604,0.001604,0.001604
12,1478.44,0.98252,0.98541,1.06709,0.96068,0.98765,0.98305,0.78448,0.76713,1.07359,0.97906,0.0015644,0.0015644,0.0015644
13,1596.83,0.99526,0.94489,1.06857,0.95013,0.98765,0.9811,0.75947,0.85403,0.95846,1.01234,0.0015248,0.0015248,0.0015248
14,1715.32,0.94639,0.90415,1.05326,0.94918,0.96296,0.97542,0.76978,0.79884,1.0073,0.9906,0.0014852,0.0014852,0.0014852
15,1833.66,0.95832,0.88013,1.05654,0.94918,0.96296,0.98022,0.76336,0.78595,0.91164,0.98483,0.0014456,0.0014456,0.0014456
16,1951.89,0.88483,0.83738,1.03273,0.97556,0.95062,0.98066,0.78579,0.77983,0.90516,0.99078,0.001406,0.001406,0.001406
17,2070.15,0.91881,0.85841,1.06938,0.96327,0.9714,0.97872,0.7654,0.74836,0.80174,0.97319,0.0013664,0.0013664,0.0013664
18,2189.07,0.90235,0.83389,1.08428,0.97527,0.97379,0.98271,0.79663,0.75914,0.74843,0.96439,0.0013268,0.0013268,0.0013268
19,2307.53,0.90291,0.78622,1.06027,0.9519,0.97722,0.97914,0.775,0.75515,0.82472,1.0031,0.0012872,0.0012872,0.0012872
20,2425.76,0.87822,0.73083,1.02347,0.96303,0.96469,0.98205,0.79357,0.76162,0.72602,0.97696,0.0012476,0.0012476,0.0012476
21,2544.11,0.87098,0.72475,1.06532,0.96289,0.97531,0.98312,0.80792,0.71477,0.69098,0.95721,0.001208,0.001208,0.001208
22,2662.4,0.80953,0.71166,1.00176,0.95118,0.9622,0.98115,0.8139,0.72465,0.67558,0.95192,0.0011684,0.0011684,0.0011684
